Customer ID,Name,Surname,Gender,Birthdate,Transaction Amount,Transaction Date,Phone,State
6905,Jessica,White   ,Male,20/10/2002,366.56,2/1/2023,(209) 300-2559,Alabama
11697,Jason,Johnson,Female,24/10/1985,2423.86,9/2/2023,(203) 874-8596,Alaska
13908,Scott,Harr ison,Fema le,25/10/1981,98.4,9/17/2023,(206) 342-8635,Arizona
26381,Michelle,Phelps,,26/10/1977,2552.72,7/17/2023,(717) 550-1675,Arkansas
27213,Michelle,Holden,Male,02/11/1951,106.26,5/20/2023,(234) 109-9997,California
28347,Pam ela,Nguyen,Male,20/10/2001,148.26,6/6/2023,(717) 550-1978,Colorado
34415,JUAN,KELLY,F,26/10/1976,2770.66,7/28/2023,(252) 258-7805,Connecticut
344715,ANTHONY,HOFFMAN,M,28/10/1968,112.63,5/25/2023,(253) 644-2187,Delaware
59223,LISA,ROSS,Female,31/10/1957,711.74,7/7/2023,201 874-8597,Florida
59633,DERRICK,AGUILAR,M,27/14/1974,211.58,3/27/2023,(238) 109-6678,Georgia
62730,MATTHEW,AGUILAR,M,26/10/1976,58.11,3/31/2023,(209) 300-2562,Hawaii
95705,AMBER,TAYLOR,F,28/10/1971,263.62,1/20/2023,(253) 644-2189,Idaho
103920,PATRICK,PRICE,Male,28/10/1968,40.08,5/28/2023,(209) 342-8933,Illinois
111696,ANTHONY,MILLER,Unknown,19/10/2004,108.3,6/14/2023,(212) 958-3918,Indiana
123235,HUNTER,PETERS,M,19/10/2004,387.78,9/24/2023,(717) 550-1676,Iowa
124681,THOMAS T,SHAW,,29/10/1966,145.94,8/30/2023,(262) 162-1585,Kansas
143865,FERNANDO,OLIVER,F,31/10/1957,246.62,8/2/2023,253 688-2190,Alabama
15565,LAWRENCE,WILLIAMS,F,30/10/1962,21.79,8/29/2023,212 658-3925,Alaska
164888,CHRISTINA,ELLIS,F,02/11/1949,654.39,7/29/2023,274 109-6672,Arizona
178351,ROBERT,RICE,Female,21/10/1999,151.73,6/29/2023,248 792-0358,Arkansas
178510,KIMBERLY,KLEIN   ,F,26/10/1977,287.34,8/18/2023,288 762-0368,California
232533,Jose,Gould,Male,22/10/1995,128.67,10/7/2023,209 300-2563,Colorado
261654,kevin,Harris,,22/10/1993,147.43,6/11/2023,232 658-3920,Connecticut
273487,david,Morrison,F,22/10/1993,-21.85,4/6/2023,(209) 300-2568,Delaware
289003,john,Woods,F,23/10/1991,1949.03,1/1/2023,(206) 742-8678,Florida
291542,kimberly,Ross,Male,25/19/1981,924.23,3/18/2023,(292) 192-1587,Georgia
305449,UNKNOWN,UNKNOWN,M,31/10/1959,115.97,9/20/2023,(248) 762-0356,Hawaii
343329,hannah,Maynard,Male,31/10/1956,487.43,1/14/2023,(252) 258-3802,Idaho
344613,michelle,Kim,F,20/10/2003,185.8,5/7/2023,(212) 658-3921,Illinois
355400,aaron,Martinez,Female,29/10/1966,631.18,9/10/2023,(209) 300-2590,Indiana
361536,kurt,Dennis,M,22/10/1994,234.16,5/24/2023,(201) 878-8601,Iowa
364086,holly,Jackson|,M,26/10/1978,839.12,3/23/2023,(717) 550-1683,Kansas
370834,katherine,Howard,Female,1961-10-10,856.38,7/26/2023,(253) 644-2386,Alabama
373595,emily,Mcdaniel,Female,28/10/1970,84.46,5/17/2023,(737) 550-3679,Alaska
385557,keith,Clark,F,30/10/1961,,4/17/2023,(717) 550-1682,Arizona
396758,ashley,Carr,M,26/10/1978,12.26,6/10/2023,(209) 700-2567,Arkansas
401993,steven,Smith,Male,01/11/1953,1468.14,5/14/2023,(201) 874-8594,California
403963,Jamie,Colli er,,25/10/1980,311.04,5/30/2023,(201) 878-8600,Colorado
409886,Benjamin,Rice,Male,20/10/2000,64.39,5/18/2023,(234) 109-9999,Connecticut
410859,Christy M,Ramos  ,F,20/10/2001,50.69,10/2/2023,(238) 109-6673,Delaware
420838,Aaron,Mckee,,20/10/2003,231.65,2/21/2023,(252) 258-3807,Florida
440706,Elizabeth,Barnes,F,24/10/1987,441.18,2/28/2023,(292) 192-1589,Georgia
450062,Joy,Padilla,F,19561015,278.38,7/23/2023,(288) 762-0365,Hawaii
463162,Stephanie,Miller,,21/10/1997,958.43,4/28/2023,(234) 109-6675,Idaho
471552,Courtney|,Johnson,M,26/12/1977,304.25,4/16/2023,(717) 550-1688,Illinois
485255,Amy,Mercer,Female,31/10/1958,2071.69,9/20/2023,(253) 944-2185,Indiana
485562,Betty,Atkinson,Female,30/10/1962,58.97,9/21/2023,209 342-8934,Iowa
496809,Bullshit,Dogshit,M,21/10/1998,-10.51,9/28/2023,(206) 382-8680,Kansas
504238,Denise,Porter,M,23/10/1991,77.73,1/12/2023,(234) 109-6666,Alabama
516709,Christopher,HARRIS,M,12/06/1989,107.44,4/22/2023,+1 (253) 644-2183,Alaska
517389,Brian,Jones,Female,25/10/1980,781.85,3/30/2023,(252) 258-3801,Arizona
521807,Kelsey,Pena,F,20/10/2003,161.39,2/8/2023,(252) 258-3799,Arkansas
526718,Dougl as,NULL,M,22/10/1995,1616.19,7/1/2023,(206) 382-8639,California
555415,Meghan,Ac osta,Female,25/10/1982,50.21,3/20/2023,(262) 362-3589,Colorado
573771,Dana,Hunt,Female,31/10/1957,331.08,6/30/2023,(234) 309-6670,Connecticut
576539,Monica,,F,26/10/1978,99.14,8/24/2023,(209) 300-2557,Delaware
583532,Alexander L,Richardson,F,29/10/1966,142.85,6/7/2023,(201) 874-8593,Florida
599093,Thomas,Salas,,22/10/1995,57.83,8/6/2023,(248) 762-0360,Georgia
615357,N/A,Michael   ,Male,30/10/1963,17.05,4/17/2023,(253) 944-2184,Hawaii
641695,Nicholas,Jones,F,01/11/1955,40.39,9/14/2023,(252) 258-3806,Idaho
641954,Justin,Mathews,F,21/10/1998,2035.14,9/14/2023,(252) 258-7804,Illinois
658610,Nicole,  Peterson   ,M,25/10/1980,395.33,3/20/2023,(252) 258-3808,Indiana
641954,Justin,Mathews,F,21/10/1998,2035.14,9/14/2023,(252) 258-7804,Iowa
658610,Nicole,Peterson,M,25/10/1980,395.33,3/20/2023,(252) 258-3808,Kansas
665628,Alejandro,Reed,F,25/10/1982,40.42,8/20/2023,(248) 762-0363,Alabama
668341,Manuel,  Robinson  ,Male,27/10/1972,251.83,6/21/2023,(212) 958-3919,Alaska
677049,Martha,Gonzales,M,19/10/2005,23.42,5/17/2023,(201) 874-8599,Arizona
683760,Amber  ,Brown,M,26/10/1976,54.31,4/10/2023,(212) 658-3917,Arkansas
697024,Michael,Hines,,25/10/1980,,8/4/2023,(212) 658-3923,California
717993,Michael,Huang,Male,22/10/1995,71.38,9/26/2023,(252) 258-3803,Colorado
